wl,#f,n,,wl,#f,k
"0,667",449775112443778,"0,219",,"0,667",449775112443778,"3,91"
"0,714",420168067226891,"0,177",,"0,714",420168067226891,"4,38"
"0,769",390117035110533,"0,179",,"0,769",390117035110533,"4,88"
"0,833",360144057623049,"0,188",,"0,833",360144057623049,"5,44"
"0,909",330033003300330,"0,205",,"0,909",330033003300330,"6,06"
1,300000000000000,"0,229",,1,300000000000000,"6,79"
"1,05",285714285714286,"0,243",,"1,05",285714285714286,"7,2"
"1,11",270270270270270,"0,258",,"1,11",270270270270270,"7,65"
"1,18",254237288135593,"0,276",,"1,18",254237288135593,"8,15"
"1,25",240000000000000,"0,296",,"1,25",240000000000000,"8,71"
"1,33",225563909774436,"0,319",,"1,33",225563909774436,"9,35"
"1,43",209790209790210,"0,348",,"1,43",209790209790210,"10,1"
"1,54",194805194805195,"0,384",,"1,54",194805194805195,"10,9"
"1,67",179640718562874,"0,43",,"1,67",179640718562874,"11,9"
"1,82",164835164835165,"0,492",,"1,82",164835164835165,13
2,150000000000000,"0,581",,2,150000000000000,"14,3"
"2,11",142180094786730,"0,64",,"2,11",142180094786730,"15,1"
"2,22",135135135135135,"0,71",,"2,22",135135135135135,16
"2,35",127659574468085,"0,793",,"2,35",127659574468085,17
"2,5",120000000000000,"0,89",,"2,5",120000000000000,18
"2,67",112359550561798,1,,"2,67",112359550561798,"19,2"
"2,86",104895104895105,"1,14",,"2,86",104895104895105,"20,6"
"3,08","97402597402597,4","1,31",,"3,08","97402597402597,4","22,2"
"3,33","90090090090090,1","1,52",,"3,33","90090090090090,1","24,1"
"3,64","82417582417582,4","1,81",,"3,64","82417582417582,4","26,3"
4,75000000000000,"2,2",,4,75000000000000,"28,9"
"4,44","67567567567567,6","2,74",,"4,44","67567567567567,6","32,1"
5,60000000000000,"3,5",,5,60000000000000,36
"5,71","52539404553415,1","4,54",,"5,71","52539404553415,1",41
"6,67","44977511244377,8","6,03",,"6,67","44977511244377,8","47,4"
8,37500000000000,"8,29",,8,37500000000000,"56,2"
10,30000000000000,"12,1",,10,30000000000000,"69,2"
"11,1",27027027027027,"14,7",,"11,1",27027027027027,"76,3"
"12,5",24000000000000,"18,2",,"12,5",24000000000000,"84,7"
"14,3",20979020979021,23,,"14,3",20979020979021,"94,9"
"16,7","17964071856287,4","29,8",,"16,7","17964071856287,4",108
20,15000000000000,"39,9",,20,15000000000000,124
"22,2","13513513513513,5","46,8",,"22,2","13513513513513,5",133
25,12000000000000,"54,8",,25,12000000000000,144
"28,6","10489510489510,5","64,3",,"28,6","10489510489510,5",158
"33,3","9009009009009,01","76,4",,"33,3","9009009009009,01",175
40,7500000000000,"93,5",,40,7500000000000,197
"44,4","6756756756756,76",105,,"44,4","6756756756756,76",210
50,6000000000000,119,,50,6000000000000,225
"57,1","5253940455341,51",137,,"57,1","5253940455341,51",243
"66,7","4497751124437,78",160,,"66,7","4497751124437,78",263
80,3750000000000,188,,80,3750000000000,288
100,3000000000000,225,,100,3000000000000,319
125,2400000000000,263,,125,2400000000000,353
154,"1948051948051,95",302,,154,"1948051948051,95",390
200,1500000000000,356,,200,1500000000000,444
286,"1048951048951,05",447,,286,"1048951048951,05",534
